incident_number,state,district,block,village_name,other_areas,constituency,incident_summary,Matched_Location,latitude,longitude
101200501,Andhra Pradesh,Guntur,Machavaram,Morjampadu,Machavaram,Gurajala,Naxalites of the CPI-Maoist kill a Telugu Desam Party (TDP) activist at Morjampadu village in the Machavaram administrative division of Guntur District.,"guntur, machavaram, morjampadu, machavaram",79.90691666666667,16.59125
101210501,Andhra Pradesh,Adilabad,Kagaznagar,Ankoda,,Sirpur,"CPI-Maoist activists shot dead a TDP activist, Kotturi Pocham, at Ankoda under Easgaon Police station limits in the Adilabad District.","adilabad, ankoda",79.60127777777777,19.406055555555554
101211501,Andhra Pradesh,East Godavari,Rajavommangi,Rajavommangi,,Rampachodavaram,34 sympathisers of the CPI-Maoist militia surrendered before the SP M. Ravi Prakash at Rajavommangi in East Godavari District.,"east godavari, rajavommangi, rajavommangi",82.23130555555555,17.54763888888889
101230501,Andhra Pradesh,Nalgonda,Pedda Adiserla Pally,Peddagattu,,Devarakonda,"A teenager, belonging to a tribal community, is shot dead by CPI-Maoist cadres belonging to the Krishnapatti squad at Peddagattu in the Nalgonda District.","nalgonda, peddagattu",79.02674999999999,16.69961111111111
101230701,Andhra Pradesh,Prakasam,"Santhanuthala padu, Podili, Zarugumilli",Laxmipuram,,Santhanuthalapadu,"Ranga Reddy, a functionary of the youth wing of the ruling Congress party in Prakasam District, was killed by CPI-Maoist cadres in Laxmipuram village near the Nallamalla forest area.","prakasam, laxmipuram",84.08516666666667,18.37788888888889
101231101,Andhra Pradesh,Khammam,Gundala,,Allapalli Singaram forest,Pinapaka,"A LWE belonging to the CPI-ML Praja Pratighatana, identified as Suresh alias Pratap Reddy, was killed in an exchange of fire with the Police near Busuraigutta hillocks in Allapalli Singaram forest area under Gundala Mandal (administrative unit) in Khammam District.","khammam, gundala, allapalli singaram forest",80.47897222222223,17.829305555555557
101240501,Andhra Pradesh,Nalgonda,,Devarakonda,,Devarakonda,"Four Naxalites of the CPI-Maoist belonging to the 'Sagar area committee squad' shot dead a TDP leader, Hanmanthu Chandriah Goud, at Devarakonda in the Nalgonda District.","nalgonda, devarakonda, devarakonda",78.92008333333334,16.688194444444445
101250601,Andhra Pradesh,Anantapur,Raptadu,Bandameedapalli,Rapthadu,Raptadu,"CPI-Maoist cadres shot dead a civilian, Boya Kadireppa, at Bandameedipalli village in the Rapthadu area of Anantapur District.","anantapur, rapthadu, bandameedipalli, rapthadu, rapthadu",77.00538888888889,14.283194444444446
101251301,Andhra Pradesh,Adilabad,Utnoor,Gangapur forest,,Khanapur,"A special Police party, on a combing operation, found an arms dump of CPI-Maoist concealed below boulders near a cave in Gangapur forest in Utnoor mandal in Adilabad District of Andhra Pradesh.","andhra pradesh, adilabad, utnoor, gangapur forest, gangapur",79.43455555555556,19.268833333333333
101260801,Andhra Pradesh,Karimnagar,,Boragunda,,Myudur,"CPI-Maoist cadres shot dead three persons, accusing them of being Police informers, at Borlagunda village in the Karimnagar District.","karimnagar, borlagunda",83.27091666666666,18.54341666666667
101270501,Andhra Pradesh,Guntur,Bollapalle,Gummanampadu,,Vinukonda,"CPI-Maoist cadres shot dead a lawyer, identified as Annapureddy Ravi Kumar, at Gummmanampadu village in the Guntur District.","guntur, gummmanampadu",79.67108333333334,16.322027777777777
101271101,Andhra Pradesh,Visakhapatnam,Koyyuru,,,Paderu,"Five cadres of the CPI-Maoist, including two women, voluntarily surrendered before the ASP Tafseer Iqbal in Koyyuru Mandal in Visakhapatnam District.","visakhapatnam, koyyuru",82.21638888888889,17.65447222222222
101281301,Andhra Pradesh,Adilabad,Bejjur,Murliguda,,Sirpur,Police arrested five sympathisers of CPI-Maoist at Murliguda village of Bejjur mandal in Adilabad District.,"adilabad, bejjur, murliguda",79.91122222222222,19.24227777777778
101281401,Andhra Pradesh,Visakhapatnam,GK Veedhi,Chapagedda,,Paderu,Twenty armed cadres of the CPI-Maoist accompanied by 50 militia members triggered blasts at two coffee pulping units and a godown of the Andhra Pradesh Forest Development Corporation's coffee pulping yard at Chapagedda in GK Veedhi mandal in Visakhapatnam District.,"andhra pradesh, visakhapatnam, gk veedhi, chapagedda",82.22405555555555,17.868750000000002
101290702,Andhra Pradesh,Kurnool,,,,,"Two CPI-Maoist women cadres, working in the Mahbubnagar District, surrendered before the Kurnool District Superintendent of Police, B. Malla Reddy.",kurnool,,
101300501,Andhra Pradesh,Karimnagar,Kamanpur,Begumpet,,Manthani,"Naxalites of the CPI-Maoist kill a surrendered Naxalite, identified as V. Ramesh alias Murali, branding him a Police informer at Begumpet village in the Karimnagar District.","karimnagar, begumpet",78.46683333333334,17.45311111111111
101300801,Andhra Pradesh,Guntur,Bollapalli,Bollapali,,Vinukonda,"Guntur District Police recovered arms and ammunition from two dumps belonging to the CPI-Maoist at Bollapalli and Papayapalem reserve forest areas. The seizure included two .303 rifles, a .38 rifle, .8 mm rifle, country made revolver, a S.B.B.L gun, revolver rounds and .38 rifle spare magazines. Police also recovered two landmines weighing 10 kilograms and three kilograms respectively, and 100 books of revolutionary literature.","guntur, bollapalli, bollapalli",80.08513888888888,15.879777777777779
102010701,Andhra Pradesh,Khammam,Wazeed,Peruru,,Bhadrachalam,Two CPI-Maoist cadres were killed in an encounter with the Police personnel in the forest areas of Peruru in the Khammam District.,"khammam, peruru",80.39541666666668,18.52797222222222
102010901,Andhra Pradesh,Guntur,Tenali,Tenali,,Tenali,"Two women cadres of the CPI-Maoist, identified as Nagella Chandra Kala alias Swarnakka and Nallakasula Alivelumanga alias Sudha were arrested by the Police from Tenali in the Guntur District. While Swarnakka is the commander of Maoist action team in Mahabubnagar, Sudha is the Bhopal-based central technical committee commander. Police suspect that the duo was trying to harbour some Maoists and spread activities of the outfit in coastal region of the State with Tenali as base. Police recovered some 'soap bombs' and electrical detonators from the two arrested cadres.","guntur, tenali, tenali, tenali",80.63608333333335,16.260583333333333
102011201,Andhra Pradesh,Visakhapatnam,Koyyrru,,Kannvaram,Paderu,"Seendri Bathro alias Badri (35), from Kannvaram under Mampa Police Station in Koyyru mandal of Visakhapatnam District was found killed with his neck strangulated. A letter left at the spot reportedly by some CPI-Maoist cadres said he was killed for being a 'police informer'.","visakhapatnam, koyyru, kannvaram",82.21705555555556,17.65586111111111
102011401,Andhra Pradesh,Khammam,Dummugudem,Pedaarlagudem,,Bhadrachalam,"Suspected members of the CPI-Maoist set ablaze a generator, transmission equipment and other apparatus at a cell phone tower of a private cellular company, at Pedaarlagudem in Dummugudem mandal in Khammam District.","khammam, dummugudem, pedaarlagudem",80.88516666666668,17.84986111111111
102011501,Andhra Pradesh,Visakhapatnam,G. Madugula,Bothili,G. Madugula mandal,Paderu,The Visakhapatnam rural Police arrested four 'militia' members belonging to the CPI-Maoist during a raid at a village in Bothili panchayat in G. Madugula mandal of Visakhapatnam District.,"visakhapatnam, g. madugula, bothili, g. madugula mandal",83.66466666666668,18.921555555555557
102020701,Andhra Pradesh,Visakhapatnam,,Kukumpudi,,Rayadurg,"CPI-Maoist cadres killed a former colleague suspecting him to be a Police informer at Kukumpudi village in the Visakhapatnam District. The slain extremist, Gemmeli Venkatrao, had surrendered to the Police in 2006.","visakhapatnam, kukumpudi",81.11088888888888,16.848277777777778
102020901,Andhra Pradesh,Karimnagar,,,Ramagundam,Ramagundam,"Police arrested a cadre of the Janashakti faction of the CPI-ML-Janashakti, identified as Javvaji Ramesh alias Kumar, from the Ramagundam area of Karimnagar District. A tapancha and 19 rounds of ammunition of various weapons were also recovered from the possession of the arrested cadre. Kumar was reportedly attempting to form a dalam of the outfit and was resorting to extortions in the coal belt region of the District.","karimnagar, ramagundam, ramagundam",79.44222222222223,18.766805555555553
102030802,Andhra Pradesh,Khammam,Khammam,,Gathumalla,Madhira,"Three naxalites including a self-styled commander of Kunta platoon, were arrested in the Gathumalla forest of Khammam District bordering Chhattisgarh. The arrested persons belonging to Chhattisgarh's Dantewada District have been identified as 'commander' Madkam Kosa alias Gangu, Deva and Sanna","khammam, khammam, gathumalla",80.60833333333333,17.548361111111113
102030803,Andhra Pradesh,Mahabubnagar,,,Nallamala,Achampet,"A CPI-Maoist cadre identified as Thummala Bhagavanthu alias Narsimha was arrested in Mahabubnagar District. A 303 rifle, 55 live rounds and INR 20,000 in cash were recovered from his possession. Narsimha was the 'commander' of Kalwakurthy dalam and was active in the Nallamala forest. He had joined the naxal movement in 1989 and was involved in over 90 offences, including murders, Police sources said.","mahabubnagar, nallamala",78.97166666666666,16.013555555555556
102040601,Andhra Pradesh,Nalgonda,Chandampet,Usmankunta,,Devarakonda,"CPI-Maoist cadres shot dead a civilian, Chetawat Gopal, a native of Usmankunta in the Chandampet mandal (administrative division) of Nalgonda District.","nalgonda, chandampet, usmankunta",78.42341666666667,17.96925
102041501,Andhra Pradesh,Visakhapatnam,,Paderu Agency area,Agency area,Paderu,As many as 13 'militia' members of Korukonda area committee belonging to the CPI-Maoist surrendered before ASP A. Babujee at Paderu in the Agency area of Visakhapatnam District.,"visakhapatnam, agency area, paderu",82.66680555555556,18.079166666666666
102050801,Andhra Pradesh,Khammam,,Kothagudem,,Khammam,"Three CPI-Maoist cadres from Chhattisgarh were arrested by the Police in the Kothagudem area. The arrested included 'commander of the Konta platoon Section -C' Madakam Posa alias Ganga, the dalam members Deva and Sanna. Unspecified quantity of explosives were seized from them.",kothagudem,81.2051388888889,16.788500000000003
102060501,Andhra Pradesh,Nizamabad,Sirkonda,Pothunur,Rekulapally,Nizamabad Rural,"Naxalites of the CPI-Maoist 'Sirnapally-Bheemgal' squad kill a former Naxalite, Chintalawada Srinivas alias Shyam, between Pothunur and Rekulapally villages in the Nizamabad District.","nizamabad, pothunur, rekulapally, nizamabad",78.56455555555556,19.432972222222222
102060601,Andhra Pradesh,Prakasam,Racharla,Malakondapenta,,Giddalur,"Three CPI-Maoist cadres, including a woman, are killed in an encounter with the Police at Malakondapenta in the Racharla mandal of Prakasam District.","prakasam, racharla, malakondapenta",78.86602777777777,15.579583333333334
102070601,Andhra Pradesh,Guntur,Karempudi,Karempudi,,Macherla,Police kill two CPI-Maoist cadres near Karampudi village in the Guntur District.,"guntur, karampudi, karampudi",79.71916666666667,16.429194444444445
102071001,Andhra Pradesh,Visakhapatnam,,,Koyyuru,Paderu,The CPI-Maoist cadres abducted a Congress party leader and a former Telugu Desam Party (TDP) panchayat ward member in Koyyuru mandal (administrative division).,koyyuru,82.21738888888889,17.65513888888889
102080501,Andhra Pradesh,Guntur,Karempudi,Miryala,,Macherla,Naxalites belonging to the Guttikonda squad of the CPI-Maoist shot dead two civilians suspecting them as Police informers at Miryal village in the Guntur District.,"guntur, miryal",79.64425,16.474833333333333
102080502,Andhra Pradesh,Guntur,Pedakakani,Takkellapadu,,Ponnur,"A surrendered Naxalite, identified as Narasimha Rao, is shot dead by the CPI-Maoist cadres after branding him a Police informer at Takkelapadu village in the same District.",takkelapadu,80.49061111111111,16.310305555555555
102080601,Andhra Pradesh,Guntur,Machavaram,Morjhampadu,Machavaram,Gurajala,A CPI-Maoist cadre belonging to the Krishnapatti dalam (squad) is killed during an exchange of fire with the Police at Morjhampadu village in the Machavaram area of Guntur District.,"guntur, machavaram, morjhampadu, machavaram",79.90636111111111,16.591416666666664
102100701,Andhra Pradesh,Chittoor,Tirupati Rural,Jeevakona,,Tirupati,"Six Naxalites belonging to the Janashakti dalam (squad) were arrested at Jeevakona in the Chittoor District while holding a meeting. Charu Sinha, Superintendent of Police of Chittoor, informed that the Janashakti dalam was virtually wiped out from the District with the arrests.","chittoor, jeevakona",79.42786111111111,13.653805555555556
102101001,Andhra Pradesh,Khammam,,,Yellandu,Yellandu,A leader of the Mohananna faction of the Praja Pratighatana was among five Left Wing Extremists (LWEs) arrested by the Police in Khammam District.,khammam,80.31691666666666,17.59594444444444
102110801,Andhra Pradesh,Khammam,Venkatapuram,,Venkatapuram,Bhadrachalam,"A zonal secretary belonging to the Praja Prathighatana faction for Khammam-Warangal region was killed in an encounter with the Police in Venkatapuram forests in Allapalli Police station limits in the Khammam District. Two cell phones, four SIM cards, kitbags, a spring field rifle, one 8 mm rifle were recovered from the encounter site.","khammam, venkatapuram, venkatapuram",80.55033333333333,18.303805555555556
102111301,Andhra Pradesh,Karimnagar,Vemulawada,Marupaka,,Vemulawada,"LWEs belonging to CPI-ML-Janashakti has again regrouped and returned by striking terror and killing a former Sarpanch, at Marupaka village of Vemulawada mandal in Andhra Pradesh.","andhra pradesh, vemulawada, marupaka, vemulawada",78.82505555555555,18.455166666666667
102120501,Andhra Pradesh,Khammam,Pinapaka/Ramadugu,Gopalraopet,Pinapaka,Pinapaka,"Naxalites of the CPI-Maoist kill a village community leader, identified as G Mohan Rao, branding him a Police informer, at Gopalraopet village under Pinapaka administrative division of Khammam District.","khammam, gopalraopet, pinapaka, pinapaka",80.59130555555555,16.65825
102121201,Andhra Pradesh,Khammam,Cherla,Timmirigudem,,Bhadrachalam,"Four CPI-Maoist cadres were arrested by the Charla Police near Timmirigudem village in Khammam District during patrolling. According to Police, the arrested Maoists - Madivi Lakma, Vetti Adama, Kovasi Inga, and Podium Joga- all in the age group of 20 to 25 years, were residents of Yerrampadu, a tribal hamlet of the Gutti Koyas tribe. They were involved in the burning of a hydraulic excavator near Gisarelli village.","khammam, charla, timmirigudem",80.83244444444443,18.09111111111111
102131301,Andhra Pradesh,Khammam,,Tippapuram,Cherla,Bhadrachalam,"The Charla Police in Khammam District of Andhra Pradesh arrested three Maoist militia members and a courier, near Tippapuram.","andhra pradesh, khammam, tippapuram, charla",80.82730555555555,18.07275
102140801,Andhra Pradesh,Vizianagaram,Pachipenta,,Lovavalasa,Salur,"A cadre of the CPI-Maoist was killed during an encounter with a Police party at Lovavalasa in the Vizianagaram District. He was identified as Rukdar alias Sudheer, the Malkangiri divisional committee member in Orissa. According to Police sources, rest of the Maoists belonging to the Koraput dalam managed to escape from the incident site.","vizianagaram, lovavalasa",83.11319444444445,18.47922222222222
102141301,Andhra Pradesh,Khammam,,Arlagudem,Dummugudem,Bhadrachalam,"The Dummugudem Police arrested two persons, including a CPI-Maoist militia member, at Arlagudem in Khammam District of Andhra Pradesh.","andhra pradesh, khammam, arlagudem, dummugudem",80.97338888888889,17.818833333333334
